Prov/Muni,NOV-2018,DEC-2018,JAN-2019,FEB-2019,MAR-2019,APR-2019
General Emilio Aguinaldo,115.29,71.84,9.46,9.52,5.46,18.23
General Mariano Alvarez,98.72,74.33,8.2,9.67,5.3,18.73
General Trias,107.39,96.32,22.64,13.69,14.68,21.89
Imus,128.25,75.03,9.03,6.08,5.1,21.4
Indang,110.83,63.01,6.95,10.02,4.79,20.7
Kawit,97.78,82.15,17.13,12.26,13.33,23.44
Magallanes,120.06,112.22,28.88,17.16,21.49,25.8
Maragondon,118.41,68.12,7.53,7.47,6.46,23.81
Mendez,150.3,103.51,20.09,14.02,21.98,28.68
Naic,151.59,116.58,26.82,17.49,25.61,30.62
Noveleta,109.32,70.28,8.17,8.36,5.43,25.08
Rosario,108.77,61.69,10.75,11.33,9.74,28.07
Silang,164.64,101.62,26.18,17.85,28.2,35.47
Tagaytay City,148.69,98.64,21.18,12.15,17.27,30.64
Tanza,157.47,101.54,27.83,18.19,28.47,35.12
Ternate,172.75,125.04,32.13,13.48,26.75,34.98
