Prov/Muni,Dec_2018,Jan_2019,Feb_2019,Mar_2019,Apr_2019,May_2019
Ma-Ayon,209.31,134.79,83.83,107.5,58.56,194.32
Mambusao,224.38,121.39,81.56,103.16,73.19,196.53
Panay,230.52,133.07,76.85,95.95,57.17,164.46
Panitan,197.69,121.23,76.18,94.2,59.07,176.25
Pilar,286.98,184,101.47,150.05,66.05,216.63
Pontevedra,236.15,143.37,85.26,113.05,60.56,191.37
President Roxas,287.18,179.72,100.58,152.48,68.3,218.14
Roxas City,200.22,106.24,59.6,79.69,53.16,145.41
Sapi-An,235.22,122.52,78.9,99.61,69.23,186.28
Sigma,205.13,116.85,78.69,94.91,66.76,186.16
Tapaz,222.21,103.57,77.98,108.89,80.72,242.01
Catanduanes,490.57,317.21,159.54,173.89,116.67,173.06
Bagamanoc,502.01,301.37,158.41,181.66,107.08,155.26
Baras,486.58,390.7,158.96,173.36,126.5,185.94
Bato,424.54,352.19,136.36,139.81,115.39,171.79
Caramoran,507.85,303.01,162.5,179.33,112.48,165.08
Gigmoto,503.95,358.4,164.69,185.24,125.07,178.25
Pandan,481.36,274.66,152.68,167.89,93.93,142.37
Panganiban,491.07,312.07,162.62,180.93,110.8,155.11
San Andres,477.04,283.83,163.27,166.09,120.42,186.05
San Miguel,500.33,363.47,159.53,180.87,130.06,197.05
Viga,502.12,325.67,165.34,184.93,117.65,166.15
Virac,481.39,281.09,157.64,157.72,125.41,198.95
Cavite,80.61,16.41,11.31,13.95,24.41,155.26
Alfonso,90.17,22.73,15.3,21.55,32.87,167.69
Amadeo,111.92,30.81,19.71,33.52,35.44,184.36
Bacoor,65.36,11.12,6.83,6.13,14.72,127.69
Carmona,129.92,31.25,17.67,21.31,26.47,150.95
Cavite City,26.03,6.33,1.87,5.4,10.73,127.38
Dasmarinas,81.45,21.61,13.59,14.89,20.94,145.84
General Emilio Aguinaldo,69.44,12.49,10.6,11.43,28.19,161.55
General Mariano Alvarez,113.42,27.46,16.54,19.49,24.76,151.16
General Trias,79.89,15.1,10.79,12.29,21.52,152.25
Imus,47.71,9.2,6.39,4.89,15.35,129.72
Indang,102,23.83,17.01,25.95,33.79,175.63
Kawit,17.57,4.77,3.27,2.33,11.47,125.72
Magallanes,72.33,10.86,9.8,7.9,26.9,156.45
Maragondon,67.02,6.61,7.21,5.54,23.12,155.78
Mendez,105.72,27.53,19.6,30.46,36.01,172.74
Naic,69.08,7.68,10.18,6.39,21.05,154.18
Noveleta,15.99,4.72,3.21,2.26,11.43,125.75
Rosario,21.31,3.32,3.97,4.29,14.88,134.27
Silang,122.91,32.8,18.52,29.37,31.78,170.35
Tagaytay City,120.32,28.77,11.44,23.77,34.47,173.22
Tanza,58.55,5.05,7.77,4.01,16.5,144.02
